COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
01,282,ANTIOQUIA,URAMITA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,441.0,629.0,2916.0,3307.0,6223.0
01,282,ANTIOQUIA,URAMITA,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,441.0,629.0,2916.0,3307.0,6223.0
01,282,ANTIOQUIA,URAMITA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,441.0,629.0,2916.0,3307.0,6223.0
44,040,CAQUETA,VALPARAISO,2019,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,INACTIVO,JUICIO,LEY 906,1.0,260.0,647.0,2654.0,3221.0,5875.0
01,291,ANTIOQUIA,VIGIA DEL FUERTE,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,923.0,896.0,2804.0,3010.0,5814.0
01,293,ANTIOQUIA,YALI,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,370.0,537.0,2826.0,3313.0,6139.0
01,298,ANTIOQUIA,YOLOMBO,2019,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,556.0,1344.0,7833.0,8428.0,16261.0
03,001,ATLANTICO,BARRANQUILLA,2019,TRAFICO DE VOTOS ART. 390A,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,VOTO FRAUDULENTO ART. 391 C.P,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
03,001,ATLANTICO,BARRANQUILLA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,56032.0,150901.0,574158.0,517454.0,1091612.0
